concept_id,concept_code,concept_name,concept_class_id,parent_concept_id,member_ingredient_count,member_drug_count
21603720,L01CC,Colchicine derivatives,ATC 4th,21601445,0,0
955115,C05X,OTHER VASOPROTECTIVES,ATC 3rd,21601605,0,0
21600593,A06AH,Peripheral opioid receptor antagonists,ATC 4th,21600532,5,147
21600722,A10AC,"Insulins and analogues for injection, intermediate-acting",ATC 4th,21600713,7,193
21600788,A10BX,"Other blood glucose lowering drugs, excl. insulins",ATC 4th,21600744,6,177
21600810,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",ATC 3rd,21600800,9,926
21600961,B01A,ANTITHROMBOTIC AGENTS,ATC 3rd,21600960,60,1537
21601128,B03BB,Folic acid and derivatives,ATC 4th,21601119,2,832
21601132,B03XA,Other antianemic preparations,ATC 4th,21601131,9,399
21601179,B05CB,Salt solutions,ATC 4th,21601167,4,1229
21601195,B05XA,Electrolyte solutions,ATC 4th,21601194,23,3229
21600306,C01CE,Phosphodiesterase inhibitors,ATC 4th,21600279,3,23
21600381,C02,ANTIHYPERTENSIVES,ATC 2nd,21601237,43,1056
21600383,C02AA,Rauwolfia alkaloids,ATC 4th,21600382,6,232
21601487,C03AX,"Thiazides, combinations with other drugs",ATC 4th,21601462,0,543
21601517,C03CA,"Sulfonamides, plain",ATC 4th,21601516,4,303
21601542,C03EA,Low-ceiling diuretics and potassium-sparing agents,ATC 4th,21601541,2,209
